time,y,y_a,motion,ultra,ultra_high,ultra_low,ultra_median
1554989991.3892,7.785997,-0.129883,0,3.000000,0.300000,0.300000,3.000000
1554989991.3892,9.042051,-0.178711,0,3.000000,0.030000,0.570000,3.000000
1554989991.3892,8.062470,-0.130859,0,3.000000,0.003000,0.813000,3.000000
1554989991.3892,9.056740,-0.180664,0,2.000000,-0.099700,0.931700,3.000000
1554989991.3892,6.914678,-0.120117,1,2.000000,-0.009970,1.038530,3.000000
1554989991.3892,6.877004,-0.121094,1,2.000000,-0.000997,1.134677,3.000000
1554989991.3892,7.378346,-0.129883,1,2.000000,-0.000100,1.221209,2.000000
1554989991.3892,18.441466,-0.163086,1,5.000000,0.299990,1.599088,3.000000
1554989991.3892,18.241372,-0.427734,1,8.000000,0.329999,2.239180,3.000000
1554989991.3892,8.790281,-0.203125,1,4.000000,-0.367000,2.415262,3.000000
1554989991.3892,-27.087194,0.644531,1,6.000000,0.163300,2.773735,3.000000
1554989991.3892,4.613139,-0.086914,1,3.000000,-0.283670,2.796362,3.000000
1554989991.3892,7.570949,-0.134766,1,2.000000,-0.128367,2.716726,3.000000
1554989991.3892,7.505504,-0.132812,1,2.000000,-0.012837,2.645053,3.000000
1554989991.3892,3.915531,-0.184570,1,4.000000,0.198716,2.780548,3.000000
1554989991.3892,68.243624,-1.195312,1,516.000000,51.219872,54.102493,3.000000
1554989991.3892,3.523146,-0.102539,0,4.000000,-46.078013,49.092244,3.000000
1554989991.3892,-52.720260,1.983398,0,3.000000,-4.707801,44.483019,3.000000
1554989991.3892,7.990927,-0.142578,0,2.000000,-0.570780,40.234717,3.000000
1554989991.3892,8.920890,-0.158203,0,2.000000,-0.057078,36.411246,3.000000
1554989991.3892,6.636488,-0.165039,0,3.000000,0.094292,33.070121,3.000000
1554989991.3892,53.681738,-1.526367,0,517.000000,51.409429,81.463109,3.000000
1554989991.3892,1.713000,-0.046875,0,5.000000,-46.059057,73.816798,3.000000
1554989991.3892,-39.531843,1.903320,0,4.000000,-4.705906,66.835118,3.000000
1554989991.3892,7.647754,-0.135742,0,2.000000,-0.670591,60.351606,3.000000
1554989991.3892,8.419964,-0.147461,0,2.000000,-0.067059,54.516446,3.000000
1554989991.3892,4.805580,-0.164062,0,3.000000,0.093294,49.364801,3.000000
1554989991.3892,66.240524,-1.231445,1,516.000000,51.309329,96.028321,4.000000
1554989991.3892,9.671511,-0.284180,1,5.000000,-45.969067,86.925489,4.000000
1554989991.3892,-52.872714,1.983398,1,5.000000,-4.596907,78.732940,4.000000
1554989991.3892,9.135620,-0.160156,1,3.000000,-0.659691,71.159646,3.000000
1554989991.3892,8.294072,-0.144531,1,3.000000,-0.065969,64.343681,3.000000
1554989991.3892,8.024171,-0.167969,1,3.000000,-0.006597,58.209313,3.000000
1554989991.3892,18.686041,-1.896484,1,517.000000,51.399340,104.088382,3.000000
1554989991.3892,12.365927,-0.298828,1,8.000000,-45.760066,94.479544,4.000000
1554989991.3892,-46.551792,1.709961,1,5.000000,-4.876007,85.531589,4.000000
1554989991.3892,7.354185,-0.127930,1,2.000000,-0.787601,77.178430,3.000000
1554989991.3892,9.626336,-0.166016,1,2.000000,-0.078760,69.660587,3.000000
1554989991.3892,8.580801,-0.151367,1,2.000000,-0.007876,62.894529,3.000000
1554989991.3892,4.781673,-0.029297,0,6.000000,0.399212,57.205076,3.000000
1554989991.3892,60.249717,-0.824219,0,517.000000,51.139921,103.184568,4.000000
1554989991.3892,6.214860,-0.193359,0,4.000000,-46.186008,93.266111,4.000000
1554989991.3892,-10.078885,0.451172,0,3.000000,-4.718601,84.239500,4.000000
1554989991.3892,9.192232,-0.161133,0,3.000000,-0.471860,76.115550,3.000000
1554989991.3892,9.354501,-0.165039,0,3.000000,-0.047186,68.803995,3.000000
1554989991.3892,7.386452,-0.137695,0,3.000000,-0.004719,62.223596,3.000000
1554989991.3892,37.511692,-0.458008,1,4.000000,0.099528,56.401236,3.000000
1554989991.3892,17.199273,-0.240234,1,4.000000,0.009953,51.161113,4.000000
1554989991.3892,17.325869,-0.385742,1,3.000000,-0.099005,46.345001,3.000000
1554989991.3892,9.451850,-0.166992,1,2.000000,-0.109900,41.910501,3.000000
1554989991.3892,8.998302,-0.158203,1,2.000000,-0.010990,37.919451,3.000000
1554989991.3892,7.279282,-0.096680,1,3.000000,0.098901,34.427506,3.000000
1554989991.3892,17.760137,-1.876953,1,516.000000,51.309890,82.584755,3.000000
1554989991.3892,2.019132,-0.049805,1,9.000000,-45.569011,75.226280,3.000000
1554989991.3892,-12.217331,0.426758,1,6.000000,-4.856901,68.303652,3.000000
1554989991.3892,9.938280,-0.297852,1,3.000000,-0.785690,61.773287,3.000000
1554989991.3892,9.466858,-0.167969,1,2.000000,-0.178569,55.795958,3.000000
1554989991.3892,7.927684,-0.159180,1,3.000000,0.082143,50.516362,3.000000
1554989991.3892,7.499393,-0.195312,1,517.000000,51.408214,97.164726,3.000000
1554989991.3892,26.182297,-0.508789,0,516.000000,5.040821,139.048253,3.000000
1554989991.3892,-25.059102,0.947266,0,5.000000,-50.595918,125.643428,3.000000
1554989991.3892,-0.392009,0.012695,0,3.000000,-5.259592,113.379085,3.000000
1554989991.3892,10.732762,-0.187500,0,2.000000,-0.625959,102.241177,3.000000
1554989991.3892,9.495955,-0.157227,0,3.000000,0.037404,92.317059,3.000000
1554989991.3892,7.995426,-0.189453,0,10.000000,0.703740,84.085353,3.000000
1554989991.3892,42.374684,-0.637695,1,517.000000,50.770374,127.376818,3.000000
1554989991.3892,-15.707895,0.565430,1,4.000000,-46.222963,115.039136,4.000000
1554989991.3892,-0.511440,0.019531,1,3.000000,-4.722296,103.835222,3.000000
1554989991.3892,10.041249,-0.176758,1,2.000000,-0.572230,93.651700,3.000000
1554989991.3892,9.688022,-0.170898,1,2.000000,-0.057223,84.486530,3.000000
1554989991.3892,6.855045,-0.353516,1,6.000000,0.394278,76.637877,3.000000
1554989991.3892,49.326715,-0.756836,1,517.000000,51.139428,120.674089,4.000000
1554989991.3892,-6.054920,0.213867,1,3.000000,-46.286057,108.906680,4.000000
1554989991.3892,14.911300,-0.331055,1,3.000000,-4.628606,98.316012,3.000000
1554989991.3892,10.459390,-0.183594,1,2.000000,-0.562861,88.684411,3.000000
1554989991.3892,8.061564,-0.172852,1,3.000000,0.043714,80.115970,3.000000
1554989991.3892,3.752583,-0.131836,1,127.000000,12.404371,84.804373,3.000000
1554989991.3892,25.635721,-0.419922,0,517.000000,40.240437,128.023936,3.000000
1554989991.3892,-22.488108,0.832031,0,4.000000,-47.275956,115.621542,4.000000
1554989991.3892,5.209927,-0.115234,0,2.000000,-4.927596,104.259388,3.000000
1554989991.3892,10.189546,-0.180664,0,2.000000,-0.492760,94.033449,3.000000
1554989991.3892,9.915281,-0.199219,0,2.000000,-0.049276,84.830104,3.000000
1554989991.3892,10.982006,-0.384766,0,330.000000,32.795072,109.347094,3.000000
1554989991.3892,45.311297,-0.694336,0,517.000000,21.979507,150.112384,3.000000
1554989991.3892,-24.480060,0.915039,0,4.000000,-49.102049,135.501146,4.000000
1554989991.3892,3.599633,-0.083984,1,3.000000,-5.010205,122.251031,3.000000
