time,y,y_a,motion,ultra,ultra_high,ultra_low,ultra_median
1554990082.6465,15.345925,-0.255859,0,2.000000,0.200000,0.200000,2.000000
1554990082.6465,15.299557,-0.269531,0,2.000000,0.020000,0.380000,2.000000
1554990082.6465,15.307544,-0.267578,0,2.000000,0.002000,0.542000,2.000000
1554990082.6465,14.909797,-0.259766,1,2.000000,0.000200,0.687800,2.000000
1554990082.6465,15.346256,-0.267578,1,2.000000,0.000020,0.819020,2.000000
1554990082.6465,15.547095,-0.270508,1,2.000000,0.000002,0.937118,2.000000
1554990082.6465,14.410989,-0.254883,1,2.000000,0.000000,1.043406,2.000000
1554990082.6465,14.907114,-0.259766,1,2.000000,0.000000,1.139066,2.000000
1554990082.6465,15.205664,-0.264648,1,2.000000,0.000000,1.225159,2.000000
1554990082.6465,15.124448,-0.263672,1,2.000000,0.000000,1.302643,2.000000
1554990082.6465,15.000696,-0.258789,1,2.000000,0.000000,1.372379,2.000000
1554990082.6465,14.624763,-0.255859,1,2.000000,0.000000,1.435141,2.000000
1554990082.6465,14.775574,-0.266602,1,2.000000,0.000000,1.491627,2.000000
1554990082.6465,14.601418,-0.253906,1,2.000000,0.000000,1.542464,2.000000
1554990082.6465,14.056282,-0.247070,1,2.000000,0.000000,1.588218,2.000000
1554990082.6465,15.488348,-0.268555,1,2.000000,0.000000,1.629396,2.000000
1554990082.6465,15.816012,-0.277344,0,2.000000,0.000000,1.666456,2.000000
1554990082.6465,14.791661,-0.258789,0,2.000000,0.000000,1.699811,2.000000
1554990082.6465,15.309734,-0.268555,0,2.000000,0.000000,1.729830,2.000000
1554990082.6465,14.878473,-0.261719,0,2.000000,0.000000,1.756847,2.000000
1554990082.6465,15.118919,-0.262695,0,2.000000,0.000000,1.781162,2.000000
1554990082.6465,15.024729,-0.273438,0,2.000000,0.000000,1.803046,2.000000
1554990082.6465,22.530037,-0.614258,1,9.000000,0.700000,2.522741,2.000000
1554990082.6465,41.871835,-0.768555,1,6.000000,-0.230000,2.870467,2.000000
1554990082.6465,-3.224085,0.222656,1,5.000000,-0.123000,3.083420,2.000000
1554990082.6465,2.678046,-0.150391,1,2.000000,-0.312300,2.975078,2.000000
1554990082.6465,13.982932,-0.246094,1,2.000000,-0.031230,2.877571,2.000000
1554990082.6465,12.808267,-0.230469,1,2.000000,-0.003123,2.789813,2.000000
1554990082.6465,15.971651,-0.572266,1,157.000000,15.499688,18.210832,2.000000
1554990082.6465,24.789870,-0.462891,1,12.000000,-12.950031,17.589749,2.000000
1554990082.6465,-10.788705,1.084961,1,5.000000,-1.995003,16.330774,2.000000
1554990082.6465,-0.655293,0.007812,1,2.000000,-0.499500,14.897697,2.000000
1554990082.6465,15.050001,-0.259766,1,2.000000,-0.049950,13.607927,2.000000
1554990082.6465,14.541033,-0.255859,1,2.000000,-0.004995,12.447134,2.000000
1554990082.6465,19.097047,-0.690430,1,9.000000,0.699500,12.102421,2.000000
1554990082.6465,42.174984,-0.610352,0,517.000000,50.869950,62.592179,2.000000
1554990082.6465,-16.054627,0.593750,0,5.000000,-46.113005,56.832961,2.000000
1554990082.6465,6.137202,0.027344,0,2.000000,-4.911300,51.349665,2.000000
1554990082.6465,15.019873,-0.261719,0,2.000000,-0.491130,46.414698,2.000000
1554990082.6465,13.558722,-0.239258,0,2.000000,-0.049113,41.973228,2.000000
1554990082.6465,15.629601,-0.557617,0,7.000000,0.495089,38.475906,2.000000
1554990082.6465,53.793530,-0.871094,0,517.000000,51.049509,86.328315,5.000000
1554990082.6465,-3.706032,0.129883,0,4.000000,-46.195049,78.095484,5.000000
1554990082.6465,11.463690,0.122070,1,3.000000,-4.719505,70.585935,4.000000
1554990082.6465,14.528761,-0.251953,1,2.000000,-0.571950,63.727342,3.000000
1554990082.6465,14.820964,-0.261719,1,3.000000,0.042805,57.654608,3.000000
1554990082.6465,10.564940,-0.358398,1,7.000000,0.404280,52.589147,3.000000
1554990082.6465,53.175949,-0.851562,1,517.000000,51.040428,99.030232,4.000000
1554990082.6465,6.340227,-0.221680,1,4.000000,-46.195957,89.527209,4.000000
1554990082.6465,35.966594,-0.476562,1,3.000000,-4.719596,80.874488,4.000000
1554990082.6465,14.245393,-0.250977,1,2.000000,-0.571960,72.987039,3.000000
1554990082.6465,14.047314,-0.247070,1,2.000000,-0.057196,65.888335,3.000000
1554990082.6465,14.587439,-0.517578,1,6.000000,0.394280,59.899502,3.000000
1554990082.6465,61.879171,-0.837891,1,517.000000,51.139428,105.609552,4.000000
1554990082.6465,-1.127338,0.039062,1,4.000000,-46.186057,95.448596,4.000000
1554990082.6465,14.417374,0.238281,0,3.000000,-4.718606,86.203737,4.000000
1554990082.6465,14.651796,-0.255859,0,2.000000,-0.571861,77.783363,3.000000
1554990082.6465,13.424932,-0.236328,0,2.000000,-0.057186,70.205027,3.000000
1554990082.6465,15.342585,-0.544922,0,7.000000,0.494281,63.884524,3.000000
1554990082.6465,62.435226,-0.896484,0,517.000000,51.049428,109.196072,4.000000
1554990082.6465,-2.395426,0.083008,0,4.000000,-46.195057,98.676465,4.000000
1554990082.6465,14.362303,0.127930,0,2.000000,-4.819506,89.008818,4.000000
1554990082.6465,14.931620,-0.260742,0,2.000000,-0.481951,80.307936,3.000000
1554990082.6465,13.455769,-0.235352,0,2.000000,-0.048195,72.477143,3.000000
1554990082.6465,16.151607,-0.576172,0,9.000000,0.695180,66.129428,3.000000
1554990082.6465,56.097536,-0.868164,0,516.000000,50.769518,111.116486,4.000000
1554990082.6465,-5.919504,0.206055,0,5.000000,-46.023048,100.504837,4.000000
1554990082.6465,0.702999,-0.051758,1,2.000000,-4.902305,90.654353,4.000000
1554990082.6465,15.415549,-0.266602,1,2.000000,-0.490230,81.788918,3.000000
1554990082.6465,13.988706,-0.248047,1,2.000000,-0.049023,73.810026,3.000000
1554990082.6465,17.655523,-0.633789,1,131.000000,12.895098,79.529024,3.000000
1554990082.6465,47.139423,-0.779297,1,517.000000,39.889510,123.276121,4.000000
