time,y,y_a,motion,ultra,ultra_high,ultra_low,ultra_median
1554990822.1455,25.227886,-0.428711,0,2.000000,0.200000,0.200000,2.000000
1554990822.1455,25.060868,-0.427734,0,2.000000,0.020000,0.380000,2.000000
1554990822.1455,24.307097,-0.416016,0,2.000000,0.002000,0.542000,2.000000
1554990822.1455,24.765984,-0.426758,1,2.000000,0.000200,0.687800,2.000000
1554990822.1455,24.781802,-0.431641,1,2.000000,0.000020,0.819020,2.000000
1554990822.1455,25.103057,-0.420898,1,2.000000,0.000002,0.937118,2.000000
1554990822.1455,25.613759,-0.438477,1,2.000000,0.000000,1.043406,2.000000
1554990822.1455,24.636396,-0.417969,1,2.000000,0.000000,1.139066,2.000000
1554990822.1455,25.005302,-0.426758,1,2.000000,0.000000,1.225159,2.000000
1554990822.1455,24.986916,-0.430664,1,2.000000,0.000000,1.302643,2.000000
1554990822.1455,24.933037,-0.426758,1,2.000000,0.000000,1.372379,2.000000
1554990822.1455,25.663468,-0.438477,1,2.000000,0.000000,1.435141,2.000000
1554990822.1455,24.774027,-0.424805,1,2.000000,0.000000,1.491627,2.000000
1554990822.1455,25.203918,-0.430664,1,2.000000,0.000000,1.542464,2.000000
1554990822.1455,25.082308,-0.425781,1,2.000000,0.000000,1.588218,2.000000
1554990822.1455,25.194863,-0.435547,1,2.000000,0.000000,1.629396,2.000000
1554990822.1455,24.778364,-0.427734,0,2.000000,0.000000,1.666456,2.000000
1554990822.1455,24.908430,-0.419922,0,2.000000,0.000000,1.699811,2.000000
1554990822.1455,24.981585,-0.418945,0,2.000000,0.000000,1.729830,2.000000
1554990822.1455,25.350075,-0.432617,0,2.000000,0.000000,1.756847,2.000000
1554990822.1455,24.701706,-0.420898,0,2.000000,0.000000,1.781162,2.000000
1554990822.1455,25.881758,-0.437500,0,2.000000,0.000000,1.803046,2.000000
1554990822.1455,25.148512,-0.423828,0,2.000000,0.000000,1.822741,2.000000
1554990822.1455,25.580570,-0.435547,0,2.000000,0.000000,1.840467,2.000000
1554990822.1455,26.099493,-0.436523,0,2.000000,0.000000,1.856420,2.000000
1554990822.1455,25.195682,-0.428711,0,2.000000,0.000000,1.870778,2.000000
1554990822.1455,25.923346,-0.444336,0,2.000000,0.000000,1.883701,2.000000
1554990822.1455,25.387657,-0.426758,0,2.000000,0.000000,1.895330,2.000000
1554990822.1455,24.402376,-0.415039,1,2.000000,0.000000,1.905797,2.000000
1554990822.1455,25.373665,-0.429688,1,2.000000,0.000000,1.915218,2.000000
1554990822.1455,25.669225,-0.445312,1,2.000000,0.000000,1.923696,2.000000
1554990822.1455,18.301125,-0.340820,1,3.000000,0.100000,2.031326,2.000000
1554990822.1455,12.903823,-0.348633,1,517.000000,51.410000,53.528194,2.000000
1554990822.1455,29.243685,-0.320312,1,10.000000,-45.559000,49.175374,2.000000
1554990822.1455,3.930313,-0.127930,1,4.000000,-5.155900,44.657837,2.000000
1554990822.1455,14.748735,-0.291992,1,3.000000,-0.615590,40.492053,2.000000
1554990822.1455,26.289012,-0.445312,1,2.000000,-0.161559,36.642848,2.000000
1554990822.1455,25.104818,-0.424805,1,2.000000,-0.016156,33.178563,2.000000
1554990822.1455,25.009636,-0.425781,1,2.000000,-0.001616,30.060707,2.000000
1554990822.1455,24.516857,-0.433594,1,2.000000,-0.000162,27.254636,2.000000
1554990822.1455,19.314566,-0.475586,1,3.000000,0.099984,24.829172,2.000000
1554990822.1455,80.777747,-0.960938,0,8.000000,0.509998,23.146255,2.000000
1554990822.1455,30.164461,-0.646484,0,4.000000,-0.349000,21.231630,2.000000
1554990822.1455,-8.624518,0.159180,0,4.000000,-0.034900,19.508467,2.000000
1554990822.1455,25.083958,-0.337891,0,2.000000,-0.203490,17.757620,2.000000
1554990822.1455,25.995822,-0.447266,0,2.000000,-0.020349,16.181858,2.000000
1554990822.1455,25.379576,-0.432617,0,2.000000,-0.002035,14.763672,2.000000
1554990822.1455,25.939457,-0.437500,0,2.000000,-0.000203,13.487305,2.000000
1554990822.1455,26.510308,-0.703125,1,2.000000,-0.000020,12.338575,2.000000
1554990822.1455,34.866080,-0.383789,1,516.000000,51.399998,62.704717,2.000000
1554990822.1455,-0.422987,0.004883,1,27.000000,-43.760000,59.134245,3.000000
1554990822.1455,-13.992759,0.236328,1,7.000000,-6.376000,53.920821,3.000000
1554990822.1455,4.407262,-0.111328,1,2.000000,-1.137600,48.728739,3.000000
1554990822.1455,22.382906,-0.357422,1,2.000000,-0.113760,44.055865,2.000000
1554990822.1455,25.464607,-0.451172,1,2.000000,-0.011376,39.850278,2.000000
1554990822.1455,25.541726,-0.432617,1,2.000000,-0.001138,36.065251,2.000000
1554990822.1455,25.223786,-0.423828,1,2.000000,-0.000114,32.658725,2.000000
1554990822.1455,25.672065,-0.430664,1,2.000000,-0.000011,29.592853,2.000000
1554990822.1455,25.157380,-0.600586,1,3.000000,0.099999,26.933568,2.000000
1554990822.1455,17.674184,-0.439453,1,517.000000,51.410000,75.940211,2.000000
1554990822.1455,16.331178,-0.077148,0,30.000000,-43.559000,71.346190,2.000000
1554990822.1455,-6.919303,0.125977,0,7.000000,-6.655900,64.911571,2.000000
1554990822.1455,9.194151,-0.340820,0,2.000000,-1.165590,58.620414,2.000000
1554990822.1455,26.045925,-0.444336,0,2.000000,-0.116559,52.958372,2.000000
1554990822.1455,26.293055,-0.441406,0,2.000000,-0.011656,47.862535,2.000000
1554990822.1455,26.415052,-0.477539,0,2.000000,-0.001166,43.276282,2.000000
1554990822.1455,26.474314,-0.437500,0,2.000000,-0.000117,39.148653,2.000000
1554990822.1455,26.497505,-0.622070,0,2.000000,-0.000012,35.433788,2.000000
1554990822.1455,8.234959,-0.254883,1,517.000000,51.499999,83.590409,2.000000
1554990822.1455,29.153939,-0.287109,1,517.000000,5.150000,126.931368,2.000000
1554990822.1455,-11.775377,0.181641,1,9.000000,-50.285000,115.138232,2.000000
1554990822.1455,-36.070198,-0.264648,1,2.000000,-5.728500,103.824408,2.000000
1554990822.1455,25.590927,-0.437500,1,2.000000,-0.572850,93.641968,2.000000
1554990822.1455,26.563726,-0.454102,1,2.000000,-0.057285,84.477771,2.000000
1554990822.1455,25.693213,-0.435547,1,2.000000,-0.005729,76.229994,2.000000
1554990822.1455,25.851549,-0.432617,1,2.000000,-0.000573,68.806994,2.000000
1554990822.1455,26.067717,-0.688477,1,3.000000,0.099943,62.226295,2.000000
1554990822.1455,-2.561101,-0.218750,1,516.000000,51.309994,107.603665,2.000000
1554990822.1455,61.570417,-0.439453,1,29.000000,-43.569001,99.743299,2.000000
1554990822.1455,-8.889918,0.190430,1,5.000000,-6.756900,90.268969,2.000000
1554990822.1455,24.414911,-0.434570,0,2.000000,-0.975690,81.442072,2.000000
1554990822.1455,25.231024,-0.433594,0,2.000000,-0.097569,73.497865,2.000000
1554990822.1455,25.837781,-0.453125,0,2.000000,-0.009757,66.348078,2.000000
