times, motion, button, ultra
0.21079,0,0,50
0.211473,0,0,50
0.211939,0,0,50
0.212371,0,0,50
0.212812,0,0,50
0.213804,0,0,50
0.214804,0,0,50
0.215796,0,0,50
0.216844,0,0,50
0.217835,0,0,50
0.218826,0,0,50
0.219816,0,0,50
0.220814,0,0,50
0.221808,0,0,50
0.222799,0,0,50
0.223795,0,0,50
0.224787,0,0,50
0.225775,0,0,50
0.226781,0,0,50
0.227768,0,0,50
0.228758,0,0,50
0.229744,0,0,50
0.230768,0,0,50
0.231765,0,0,50
0.232736,0,0,50
0.233736,0,0,50
0.234723,0,1,50
0.235718,0,0,50
0.236713,0,0,50
0.237698,0,0,50
0.23869,0,0,50
0.239682,0,0,50
0.24078,0,0,50
0.241991,0,0,50
0.243087,0,0,50
0.244138,0,0,50
0.245175,0,0,50
0.24627,0,0,50
0.247346,0,0,50
0.248393,0,0,51
0.249473,0,0,49
0.250574,1,0,50
0.25164,1,0,49
0.252677,1,0,37
0.25379,1,0,39
0.25489,1,0,25
0.255966,1,0,23
0.257016,1,0,24
0.258127,1,0,23
0.259202,1,0,24
0.260689,1,0,23
0.261745,1,0,25
0.262792,1,0,23
0.263899,1,0,24
0.26497,0,0,22
0.266033,0,0,22
0.267322,0,0,23
0.268394,0,0,24
0.269447,0,0,24
0.270566,0,0,24
0.271671,0,0,24
0.27274,0,0,24
0.273789,1,0,24
0.274983,1,0,24
0.276049,1,0,24
0.27712,1,0,24
0.278261,1,0,24
0.279348,1,0,24
0.280409,1,0,24
0.281478,1,0,24
0.282592,1,0,24
0.283666,1,1,24
0.284715,1,0,24
0.285848,1,0,24
0.286945,1,0,24
0.28799,0,0,24
0.289053,0,0,24
0.290193,0,0,24
0.291272,0,0,24
0.292318,0,0,24
0.293451,0,0,24
0.294532,0,0,24
0.295575,0,0,24
0.296617,0,0,24
0.297753,0,0,24
0.298826,0,0,24
0.29988,0,0,24
0.300927,0,0,24
0.302032,0,0,24
0.303097,0,0,24
0.304142,0,0,24
0.305294,0,0,24
0.306372,0,0,24
0.307415,0,0,24
0.30848,0,0,24
0.309588,0,0,24
